ID,label
TEST_000,airplane
TEST_001,building
TEST_002,emotion_face
TEST_003,building
TEST_004,truck
TEST_005,emotion_face
TEST_006,emotion_face
TEST_007,cat
TEST_008,ball
TEST_009,police_car
TEST_010,ball
TEST_011,apple
TEST_012,truck
TEST_013,ball
TEST_014,bird
TEST_015,ball
TEST_016,building
TEST_017,building
TEST_018,cat
TEST_019,emotion_face
TEST_020,truck
TEST_021,truck
TEST_022,building
TEST_023,truck
TEST_024,cat
TEST_025,ball
TEST_026,emotion_face
TEST_027,bird
TEST_028,bird
TEST_029,cat
TEST_030,building
TEST_031,truck
TEST_032,emotion_face
TEST_033,bird
TEST_034,airplane
TEST_035,ball
TEST_036,bird
TEST_037,building
TEST_038,emotion_face
TEST_039,building
TEST_040,truck
TEST_041,police_car
TEST_042,apple
TEST_043,cat
TEST_044,rabbit
TEST_045,ball
TEST_046,apple
TEST_047,rabbit
TEST_048,rabbit
TEST_049,ball
TEST_050,building
TEST_051,truck
TEST_052,rabbit
TEST_053,rabbit
TEST_054,rabbit
TEST_055,emotion_face
TEST_056,building
TEST_057,police_car
TEST_058,emotion_face
TEST_059,emotion_face
TEST_060,building
TEST_061,police_car
TEST_062,airplane
TEST_063,ball
TEST_064,bird
TEST_065,apple
TEST_066,bird
TEST_067,emotion_face
TEST_068,cat
TEST_069,building
TEST_070,ball
TEST_071,airplane
TEST_072,bird
TEST_073,emotion_face
TEST_074,airplane
TEST_075,police_car
TEST_076,building
TEST_077,truck
TEST_078,rabbit
TEST_079,ball
TEST_080,building
TEST_081,cat
TEST_082,rabbit
TEST_083,apple
TEST_084,airplane
TEST_085,bird
TEST_086,emotion_face
TEST_087,cat
TEST_088,rabbit
TEST_089,bird
TEST_090,airplane
TEST_091,airplane
TEST_092,cat
TEST_093,airplane
TEST_094,apple
TEST_095,airplane
TEST_096,building
TEST_097,cat
TEST_098,building
TEST_099,apple
TEST_100,building
TEST_101,rabbit
TEST_102,ball
TEST_103,airplane
TEST_104,apple
TEST_105,cat
TEST_106,emotion_face
TEST_107,building
TEST_108,emotion_face
TEST_109,building
TEST_110,apple
TEST_111,bird
TEST_112,bird
TEST_113,airplane
TEST_114,bird
TEST_115,apple
TEST_116,building
TEST_117,bird
TEST_118,cat
TEST_119,emotion_face
TEST_120,building
TEST_121,rabbit
TEST_122,building
TEST_123,emotion_face
TEST_124,bird
TEST_125,truck
TEST_126,building
TEST_127,rabbit
TEST_128,rabbit
TEST_129,bird
TEST_130,bird
TEST_131,apple
TEST_132,truck
TEST_133,ball
TEST_134,rabbit
TEST_135,ball
TEST_136,apple
TEST_137,airplane
TEST_138,rabbit
TEST_139,cat
TEST_140,cat
TEST_141,apple
TEST_142,ball
TEST_143,building
TEST_144,cat
TEST_145,building
TEST_146,emotion_face
TEST_147,ball
TEST_148,airplane
TEST_149,apple
TEST_150,apple
TEST_151,police_car
TEST_152,building
TEST_153,bird
TEST_154,rabbit
TEST_155,truck
TEST_156,cat
TEST_157,ball
TEST_158,rabbit
TEST_159,cat
TEST_160,apple
TEST_161,cat
TEST_162,bird
TEST_163,police_car
TEST_164,truck
TEST_165,emotion_face
TEST_166,building
TEST_167,apple
TEST_168,emotion_face
TEST_169,truck
TEST_170,truck
TEST_171,airplane
TEST_172,truck
TEST_173,bird
TEST_174,emotion_face
TEST_175,rabbit
TEST_176,rabbit
TEST_177,apple
TEST_178,emotion_face
TEST_179,apple
TEST_180,airplane
TEST_181,airplane
TEST_182,truck
TEST_183,airplane
TEST_184,rabbit
TEST_185,emotion_face
TEST_186,emotion_face
TEST_187,apple
TEST_188,apple
TEST_189,rabbit
TEST_190,building
TEST_191,rabbit
TEST_192,police_car
TEST_193,rabbit
TEST_194,emotion_face
TEST_195,cat
TEST_196,building
TEST_197,rabbit
TEST_198,truck
TEST_199,building
TEST_200,bird
TEST_201,ball
TEST_202,bird
TEST_203,apple
TEST_204,ball
TEST_205,truck
TEST_206,truck
TEST_207,apple
TEST_208,rabbit
TEST_209,building
TEST_210,police_car
TEST_211,ball
TEST_212,emotion_face
TEST_213,police_car
TEST_214,bird
TEST_215,police_car
TEST_216,cat
TEST_217,rabbit
TEST_218,building
TEST_219,apple
TEST_220,police_car
TEST_221,emotion_face
TEST_222,apple
TEST_223,cat
TEST_224,apple
TEST_225,airplane
TEST_226,ball
TEST_227,police_car
TEST_228,bird
TEST_229,building
TEST_230,ball
TEST_231,cat
TEST_232,emotion_face
TEST_233,rabbit
TEST_234,truck
TEST_235,ball
TEST_236,airplane
TEST_237,rabbit
TEST_238,bird
TEST_239,building
TEST_240,apple
TEST_241,truck
TEST_242,building
TEST_243,emotion_face
TEST_244,rabbit
TEST_245,police_car
TEST_246,cat
TEST_247,building
TEST_248,police_car
TEST_249,airplane
